id,name,business_id,user_id,stars,date,text,useful,cool,funny
1,Tacorea,1,1,4.5,2017-9-22,"Yummy cheese quesadillas + my favorite Korean marinated bbq dish\, bulgogi = Tacorea's Lil Kodak  quesadilla that I never knew I needed in my life! Holy! It was so juicy and flavorful with that right amount of sweetness that is always expected from bulgogi. They make an awesome California Burrito too with all of the essentials - carne asada\, guacamole\, cheese\, pico de gallo AND switches up from the classic french fries to a childhood favorite - tator tots. so thoroughly happy with our orders and will definitely come back again!",256,290,86
2,"Golden Boy Pizza",2,2,2,2014-10-3,"Finally an affordable pizza place that I can go on a regular basis. I go to Chinatonw pretty much everyday (I'm from Hong Kong) and recently decided to venture into little Italy\, or Littly as my friends and I like to call it. And even though food here is still cheaper than the rest of the city\, it's still alittle over my budget as a newly grad unemployed college student. But Golden Boy is well within my budget\, and the people are nice and hardworking. Usually I don't tip my waitors and waitresses very much since I just find them rude most of the time. But the people at Golden Boy Pizza really dig their job and do it really well - that I admire very much and I'm happy to say that I will be tipping very generously whenever I come here to get that delicious.",209,282,57
3,"Hot Sauce and Panko",3,3,4,2016-8-6,"Pretty good wings had the srg (hot garlic bacon and Parm) and the panco covered wings with the waffle. The waffle was tasty but the waffle was a little soggy from the butter. Will be coming back taste all the other flavor of wings. Don't forget to take a look at all the hot sauces",363,299,32
4,"El Farolito",4,4,5,2018-9-12,"I had the chance to try El Farolito after several friends recommended it to me as a MUST while visiting the Mission District in SF. The neighborhood and subsequently the city is known for it's rich history of Mexican cuisine dating back all the way to the Mexican-American war. This specific area of SF is known for the different restaurants that serve up the classics (i.e. burritos\, quesadillas\, etc.). However\, El Farolito is apparently is THE PLACE for amazing Mexican cuisine in the Bay Area so I know I had to try it.",157,276,85
5,Volcano,5,5,2,2017-7-3,"My colleagues wanted to try this place for lunch today so we ordered a bunch of dishes. I was not in the mood for curry so I ordered a tempura udon which comes with a side salad and miso soup. Udon soup was lukewarm with spinach floating in it. Udon noodles were plentiful but the tempura was a dry oily piece of fried vegetable which ruined the meal. I would come back here to try their curry but no for their udon noodle soup!",313,222,88
6,"The Bird",6,6,5,2015-5-11,"One of the best chicken sandwiches I've ever had. Quick line and fast service makes what looks like a long wait short. If you're in the area it's must try",453,268,21
7,"Pacific Eatery",7,7,3,2014-8-18,"Tasty and fresh takeaway options for those seeking a break from chain restaurants catering to tourists. While their menu is limited (think 4-6 items)\, you may add slices of avocado or chicken/salmon for $2 here or $4 there.  In addition to a few salad options\, they offer Pho\, Curry\, and Loco Moco.   Since I was feeling the need to green my lunch\, I opted for their salad bowl and added chicken.  They grilled my chicken while I waited and I could hear the gentleman behind the counter slicing away.  My salad bowl was a tumble of fresh spinach leaves\, Napa cabbage\, salad mix\, green apples\, strawberries\, and pineapple chunks.  The salad dressing was a savory soy sesame concoction that gave a good balance to my salad.",494,191,75
8,"Super Duper Burgers",8,8,5,2017-4-17,"I ABSOLUTELY LOVE THIS PLACE!! It makes me really sad that I can't have it all the time (being from Davis and all)\, so I get really excited every time I'm in the city and I'm able to get a burger. This place never disappoints! The burgers are always super juicy and definitely hits the spot.",390,79,90
9,Yamo,9,9,1,2018-7-6,"Yuck!! Part of me feels horrible for writing this review but honestly I wish this review existed before I walked way too far for this. Food is tasteless. Burmese is one of my favorite foods and I love it for its rich flavors. This place was so so so bland. Service is horrendous. The girl at the counter is flat out rude and dismissive\, almost as if it's her schtick. But it's off putting and really not cute.The place is filthy. I by no means have high standards for ambiance when there is good food involved (my favorite Burmese place is nothing fancy at all) but this place is dirty. You can watch them prepare all the food and I literally saw utensils being reused and put back in little nooks. THEN an exterminator came in and started doing a routine inspection and collection\, so disgusting. It's cheap\, and that might be the only upside but definitely not cheap enough to make up for everything else.",133,128,71
10,Fayala,10,10,5,2016-4-20,"Fayala is a hidden gem in the business district. For lunch\, they offer buffet and sandwiches made to order. I eat at the buffet at least three times a week. The selection changes regularly\, but their fish is a solid tasty stable. The salad bar is constantly refilled with fresh vegetables and if you're a fan of beets\, this is the place. Four kinds of greens and a variety that'd satisfy vegans. Friendly\, professional staff that make rush time look easy. TL;DR: Great place for lunch.",231,0,45
